origID,age,gender,english,How did you find participating in this experiment? Please tell us anything you'd like to share about your experience.,rc_acc,rct,mw_freq,mw_intent_freq,smq_mean,preoccupation,tolerance,withdrawal,persistence,escape,problems,deception,displacement,conflict
12533380,20,Man,Yes,"The the random questions asking whether my mind was wandering was probably more distracting than my mind wandering every now and then. Overall I quite enjoyed learning what was written, it was fun. I also found myself preferring to read from the paper, it seemed easier.",75,10660.205555558488,14.814814814814811,0,4.37037037037037,4,4.5,5.5,3,2.5,5,5,5.5,4.5
12533306,19,Woman,Yes,it was easy to understand/participate. passages were varied,52.77777777777778,7267.705555556737,48.14814814814815,7.692307692307694,4.962962962962963,4.5,4.5,5,4.5,6,4.5,6,6,6
12533307,21,Man,Yes,I found I mindwandered more when I had little interest or were confused about phrased or words in the text.,69.44444444444444,9163.536111111893,18.51851851851852,60,5.185185185185185,4,4.5,6,5.5,5.5,4.5,6,5.5,6
12533308,21,Man,Yes,"Very inciteful, challenging and rewarding. My brain feels a bit strained but I don't think that's a bad thing. This has really made me think about mind wondering. At least until I get distracted by something.",52.77777777777778,10883.852777778437,37.03703703703704,60,4.518518518518518,5,4.5,4,4.5,3.5,5,6,5,5.5
12533310,22,Woman,Yes,Some topics were interesting for me which made me focused better.,50,16370.438888891656,25.925925925925924,28.57142857142857,4.185185185185185,2.5,4,5.5,5.5,2,4.5,5,5,6
12533309,22,Woman,Yes,NA,63.888888888888886,14454.39999999756,22.222222222222214,0,4.222222222222222,2.5,3,3.5,4,4,4.5,5.5,5.5,6
12533311,22,Woman,Yes,I found it interesting to see how often my mind wandered,52.77777777777778,11521.488888891032,77.77777777777779,38.095238095238095,2.3703703703703702,2,1,2,2,1.5,2.5,2.5,2.5,5
12533312,23,Woman,No,"amazing experiment, very reflective.",30.555555555555557,17977.141666669268,81.48148148148148,36.36363636363637,1.5925925925925926,1,1,1.5,2.5,1,1.5,2,1.5,2
12533313,21,Woman,Yes,"I could not concentrate at all, I feel like my attention span has gotten so bad since leaving sixth form.",36.11111111111111,20828.661111108,88.88888888888889,0,3.2962962962962963,3.5,1.5,3.5,2.5,1,3.5,6,3,3.5
12533314,22,Woman,No,I really enjoyed this experiment - highlights how much our minds wander whilst reading,44.44444444444444,12746.43611110776,66.66666666666667,5.555555555555554,2.7037037037037037,3,3,2,2,2.5,2.5,3.5,3,2.5
12533315,21,Woman,No,made me realise i need to not use tiktok as often so i'm more focused,52.77777777777778,9619.872222222428,55.55555555555556,0,2.3333333333333335,2.5,2.5,1.5,2.5,1,3,3,2.5,3
12533316,21,Man,Yes,NA,61.111111111111114,10070.63611111188,44.44444444444444,16.666666666666668,4.7407407407407405,3.5,4.5,5,4.5,5.5,4.5,3.5,6,5.5
