Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-tloe,branch-b7np,randomiser-oo54,randomiser-5zfx,randomiser-rrwr,randomiser-39gv,branch-m511,quota-so7f,quota-bi7i,branch-k46k,Randomise questionnaire elements?,Question Key,Response
2,1706109184218,24/01/2024 15:13:04,1706109184144,0,24/01/2024 15:13:04,155541,10,questionnaire-km51,,34450280,BLIND,10182962,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.1,1280x800,1040x638,,,,Info sheet,6,,control,,,,set 1,Controls,ACCEPT,,Controls,No,END QUESTIONNAIRE,34894
1,1706371337811,27/01/2024 16:02:17,1706371355428,0,27/01/2024 16:02:35,155541,10,questionnaire-km51,,34540520,BLIND,10211803,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 120.0.0.0,1280x720,1232x598,,,,Info sheet,6,,control,,,,set 2,Controls,ACCEPT,,Controls,No,BEGIN QUESTIONNAIRE,
2,1706371386023,27/01/2024 16:03:06,1706371403328,0,27/01/2024 16:03:23,155541,10,questionnaire-km51,,34540520,BLIND,10211803,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 120.0.0.0,1280x720,1217x598,,,,Info sheet,6,,control,,,,set 2,Controls,ACCEPT,,Controls,No,END QUESTIONNAIRE,47901
1,1706545590315,29/01/2024 16:26:30,1706545590115,0,29/01/2024 16:26:30,155541,10,questionnaire-km51,,34582454,BLIND,10224591,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.2.1,1440x900,1440x820,,,,Info sheet,6,,multiple,,,set 2,,Neurodiverse,,ACCEPT,Neurodiverse,No,BEGIN QUESTIONNAIRE,
2,1706545856073,29/01/2024 16:30:56,1706545855771,0,29/01/2024 16:30:55,155541,10,questionnaire-km51,,34582454,BLIND,10224591,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.2.1,1440x900,1440x820,,,,Info sheet,6,,multiple,,,set 2,,Neurodiverse,,ACCEPT,Neurodiverse,No,END QUESTIONNAIRE,265656
1,1706548048720,29/01/2024 17:07:28,1706548048577,0,29/01/2024 17:07:28,155541,10,questionnaire-km51,,34584269,BLIND,10225087,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.1,1280x800,1280x720,,,,Info sheet,6,,control,,,,set 1,Controls,ACCEPT,,Controls,No,BEGIN QUESTIONNAIRE,
2,1706548155508,29/01/2024 17:09:15,1706548155140,0,29/01/2024 17:09:15,155541,10,questionnaire-km51,,34584269,BLIND,10225087,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.1,1280x800,1280x720,,,,Info sheet,6,,control,,,,set 1,Controls,ACCEPT,,Controls,No,END QUESTIONNAIRE,106563
1,1706707044775,31/01/2024 13:17:24,1706707038882,0,31/01/2024 13:17:18,155541,10,questionnaire-km51,,34640892,BLIND,10243319,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,Info sheet,6,,adhd,set 1,,,,Neurodiverse,,ACCEPT,Neurodiverse,No,BEGIN QUESTIONNAIRE,
2,1706707101762,31/01/2024 13:18:21,1706707095993,0,31/01/2024 13:18:15,155541,10,questionnaire-km51,,34640892,BLIND,10243319,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1263x551,,,,Info sheet,6,,adhd,set 1,,,,Neurodiverse,,ACCEPT,Neurodiverse,No,END QUESTIONNAIRE,57111
1,1706872697609,02/02/2024 11:18:17,1706872697475,0,02/02/2024 11:18:17,155541,10,questionnaire-km51,,34725242,BLIND,10266512,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1536x865,1536x703,,,,Info sheet,6,,control,,,,set 2,Controls,ACCEPT,,Controls,No,BEGIN QUESTIONNAIRE,
2,1706872731626,02/02/2024 11:18:51,1706872731558,0,02/02/2024 11:18:51,155541,10,questionnaire-km51,,34725242,BLIND,10266512,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1536x865,1519x703,,,,Info sheet,6,,control,,,,set 2,Controls,ACCEPT,,Controls,No,END QUESTIONNAIRE,34083
1,1706968341525,03/02/2024 13:52:21,1706968341402,0,03/02/2024 13:52:21,155541,10,questionnaire-km51,,34767720,BLIND,10276472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.2,834x1194,1194x727,,,,Info sheet,6,,control,,,,set 1,Controls,ACCEPT,,Controls,No,BEGIN QUESTIONNAIRE,
2,1706968349849,03/02/2024 13:52:29,1706968349770,0,03/02/2024 13:52:29,155541,10,questionnaire-km51,,34767720,BLIND,10276472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.2,834x1194,1194x727,,,,Info sheet,6,,control,,,,set 1,Controls,ACCEPT,,Controls,No,END QUESTIONNAIRE,8368
1,1708979304223,26/02/2024 20:28:24,1708979304058,0,26/02/2024 20:28:24,155541,10,questionnaire-km51,,35526719,BLIND,10495625,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1359x745,,,,Info sheet,6,,adhd,set 1,,,,Neurodiverse,,ACCEPT,Neurodiverse,No,BEGIN QUESTIONNAIRE,
2,1708979359209,26/02/2024 20:29:19,1708979359103,0,26/02/2024 20:29:19,155541,10,questionnaire-km51,,35526719,BLIND,10495625,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1440x745,,,,Info sheet,6,,adhd,set 1,,,,Neurodiverse,,ACCEPT,Neurodiverse,No,END QUESTIONNAIRE,55045
1,1710153267350,11/03/2024 10:34:27,1710153267271,0,11/03/2024 10:34:27,155541,10,questionnaire-km51,,35971783,BLIND,10627297,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 121.0.0.0,1536x864,1488x716,,,,Info sheet,6,,asd,,set 2,,,Neurodiverse,,ACCEPT,Neurodiverse,No,BEGIN QUESTIONNAIRE,
2,1710153383732,11/03/2024 10:36:23,1710153383687,0,11/03/2024 10:36:23,155541,10,questionnaire-km51,,35971783,BLIND,10627297,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 121.0.0.0,1536x864,1473x716,,,,Info sheet,6,,asd,,set 2,,,Neurodiverse,,ACCEPT,Neurodiverse,No,END QUESTIONNAIRE,116417
1,1710344689034,13/03/2024 15:44:49,1710344688792,0,13/03/2024 15:44:48,155541,10,questionnaire-km51,,36054577,BLIND,10651892,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 121.0.0.0,1616x909,1616x774,,,,Info sheet,6,,control,,,,set 1,Controls,ACCEPT,,Controls,No,BEGIN QUESTIONNAIRE,
2,1710344812037,13/03/2024 15:46:52,1710344811792,0,13/03/2024 15:46:51,155541,10,questionnaire-km51,,36054577,BLIND,10651892,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 121.0.0.0,1616x909,1616x774,,,,Info sheet,6,,control,,,,set 1,Controls,ACCEPT,,Controls,No,END QUESTIONNAIRE,123000
1,1703307883420,23/12/2023 05:04:43,1703307883315,0,23/12/2023 05:04:43,155541,10,questionnaire-km51,,33849038,BLIND,10012318,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x783,,,,Info sheet,6,,control,,,,set 2,Controls,ACCEPT,,Controls,No,BEGIN QUESTIONNAIRE,
2,1703307952860,23/12/2023 05:05:52,1703307952795,0,23/12/2023 05:05:52,155541,10,questionnaire-km51,,33849038,BLIND,10012318,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x783,,,,Info sheet,6,,control,,,,set 2,Controls,ACCEPT,,Controls,No,END QUESTIONNAIRE,69480
1,1703484360942,25/12/2023 06:06:00,1703484362584,0,25/12/2023 06:06:02,155541,10,questionnaire-km51,,33858616,BLIND,10015335,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,Info sheet,6,,control,,,,set 2,Controls,ACCEPT,,Controls,No,BEGIN QUESTIONNAIRE,
2,1703484396573,25/12/2023 06:06:36,1703484398258,0,25/12/2023 06:06:38,155541,10,questionnaire-km51,,33858616,BLIND,10015335,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1263x551,,,,Info sheet,6,,control,,,,set 2,Controls,ACCEPT,,Controls,No,END QUESTIONNAIRE,35674
1,1703536344813,25/12/2023 20:32:24,1703536344728,0,25/12/2023 20:32:24,155541,10,questionnaire-km51,,33860703,BLIND,10015992,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.4,1440x900,1440x820,,,,Info sheet,6,,asd,,set 1,,,Neurodiverse,,ACCEPT,Neurodiverse,No,BEGIN QUESTIONNAIRE,
2,1703536368792,25/12/2023 20:32:48,1703536368748,0,25/12/2023 20:32:48,155541,10,questionnaire-km51,,33860703,BLIND,10015992,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.4,1440x900,1440x820,,,,Info sheet,6,,asd,,set 1,,,Neurodiverse,,ACCEPT,Neurodiverse,No,END QUESTIONNAIRE,24021
1,1703606794107,26/12/2023 16:06:34,1703606792908,0,26/12/2023 16:06:32,155541,10,questionnaire-km51,,33865711,BLIND,10017182,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 120.0.0.0,1536x864,1528x742,,,,Info sheet,6,,control,,,,set 1,Controls,ACCEPT,,Controls,No,BEGIN QUESTIONNAIRE,
2,1703607048107,26/12/2023 16:10:48,1703607046943,0,26/12/2023 16:10:46,155541,10,questionnaire-km51,,33865711,BLIND,10017182,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 120.0.0.0,1536x864,1513x742,,,,Info sheet,6,,control,,,,set 1,Controls,ACCEPT,,Controls,No,END QUESTIONNAIRE,254035
1,1703611825734,26/12/2023 17:30:25,1703611826341,0,26/12/2023 17:30:26,155541,10,questionnaire-km51,,33866311,BLIND,10017343,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 120.0.0.0,1536x864,1528x742,,,,Info sheet,6,,control,,,,set 2,Controls,ACCEPT,,Controls,No,BEGIN QUESTIONNAIRE,
2,1703611839591,26/12/2023 17:30:39,1703611840219,0,26/12/2023 17:30:40,155541,10,questionnaire-km51,,33866311,BLIND,10017343,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 120.0.0.0,1536x864,1513x742,,,,Info sheet,6,,control,,,,set 2,Controls,ACCEPT,,Controls,No,END QUESTIONNAIRE,13879
1,1703620013959,26/12/2023 19:46:53,1703620014387,0,26/12/2023 19:46:54,155541,10,questionnaire-km51,,33866830,BLIND,10017506,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 120.0.0.0,1536x864,1488x742,,,,Info sheet,6,set 2,dyslexia,,,,,Neurodiverse,,ACCEPT,Neurodiverse,No,BEGIN QUESTIONNAIRE,
2,1703620141655,26/12/2023 19:49:01,1703620142108,0,26/12/2023 19:49:02,155541,10,questionnaire-km51,,33866830,BLIND,10017506,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 120.0.0.0,1536x864,1473x742,,,,Info sheet,6,set 2,dyslexia,,,,,Neurodiverse,,ACCEPT,Neurodiverse,No,END QUESTIONNAIRE,127721
1,1703620401219,26/12/2023 19:53:21,1703620401154,0,26/12/2023 19:53:21,155541,10,questionnaire-km51,,33866854,BLIND,10017510,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Edge 120.0.0.0,1440x900,1432x698,,,,Info sheet,6,,control,,,,set 1,Controls,ACCEPT,,Controls,No,BEGIN QUESTIONNAIRE,
2,1703620405386,26/12/2023 19:53:25,1703620405274,0,26/12/2023 19:53:25,155541,10,questionnaire-km51,,33866854,BLIND,10017510,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Edge 120.0.0.0,1440x900,1432x698,,,,Info sheet,6,,control,,,,set 1,Controls,ACCEPT,,Controls,No,END QUESTIONNAIRE,4121
1,1704620814171,07/01/2024 09:46:54,1704620814021,0,07/01/2024 09:46:54,155541,10,questionnaire-km51,,33990969,BLIND,10057183,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6.1,1440x900,1324x710,,,,Info sheet,6,,control,,,,set 1,Controls,ACCEPT,,Controls,No,BEGIN QUESTIONNAIRE,
2,1704620846097,07/01/2024 09:47:26,1704620845988,0,07/01/2024 09:47:25,155541,10,questionnaire-km51,,33990969,BLIND,10057183,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6.1,1440x900,1324x710,,,,Info sheet,6,,control,,,,set 1,Controls,ACCEPT,,Controls,No,END QUESTIONNAIRE,31967
1,1704662394644,07/01/2024 21:19:54,1704662394739,0,07/01/2024 21:19:54,155541,10,questionnaire-km51,,33995874,BLIND,10058829,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 120.0.0.0,1280x720,1232x564,,,,Info sheet,6,,control,,,,set 2,Controls,ACCEPT,,Controls,No,BEGIN QUESTIONNAIRE,
2,1704662399456,07/01/2024 21:19:59,1704662399584,0,07/01/2024 21:19:59,155541,10,questionnaire-km51,,33995874,BLIND,10058829,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 120.0.0.0,1280x720,1217x564,,,,Info sheet,6,,control,,,,set 2,Controls,ACCEPT,,Controls,No,END QUESTIONNAIRE,4844
1,1704710668346,08/01/2024 10:44:28,1704710668231,0,08/01/2024 10:44:28,155541,10,questionnaire-km51,,34001819,BLIND,10060293,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.1.2,1024x1366,1366x917,,,,Info sheet,6,,control,,,,set 1,Controls,ACCEPT,,Controls,No,BEGIN QUESTIONNAIRE,
2,1704710719277,08/01/2024 10:45:19,1704710719211,0,08/01/2024 10:45:19,155541,10,questionnaire-km51,,34001819,BLIND,10060293,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.1.2,1024x1366,1366x917,,,,Info sheet,6,,control,,,,set 1,Controls,ACCEPT,,Controls,No,END QUESTIONNAIRE,50980
1,1704713750088,08/01/2024 11:35:50,1704713749930,0,08/01/2024 11:35:49,155541,10,questionnaire-km51,,34004655,BLIND,10060775,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.0,820x1180,1180x668,,,,Info sheet,6,,control,,,,set 2,Controls,ACCEPT,,Controls,No,BEGIN QUESTIONNAIRE,
2,1704713946470,08/01/2024 11:39:06,1704713946213,0,08/01/2024 11:39:06,155541,10,questionnaire-km51,,34004655,BLIND,10060775,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.0,820x1180,1180x668,,,,Info sheet,6,,control,,,,set 2,Controls,ACCEPT,,Controls,No,END QUESTIONNAIRE,196283
