Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID,randomiser-mq2e,branch-s3b7,branch-wcx7,branch-spxp
21,1754562009689,07/08/2025 10:20,1754565609689,1,07/08/2025 12:20,233799,28,questionnaire-pawl,,48574218,BLINDED,13934025,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1536x864,1536x703,,,0,Feedback,2,,,,,info,,END,12833,,,,,selfreport_probe,Eligible,Voucher,Yes
1,1755089639250,13/08/2025 12:53,1755093239250,1,13/08/2025 14:53,233799,28,questionnaire-pawl,,48676964,BLINDED,13955495,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 141.0,1536x864,1536x703,,,0,Feedback,2,,,,,info,,BEGIN,,,,,,probe_selfreport,Eligible,Voucher,Yes
12,1755089649088,13/08/2025 12:54,1755093249088,1,13/08/2025 14:54,233799,28,questionnaire-pawl,,48676964,BLINDED,13955495,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 141.0,1536x864,1536x703,,,0,Feedback,2,Page 1,rnfxsa,1,**Which best describes the environment you completed the experiment in?**,response,value,A quiet room with no distraction.,,A quiet room with no distraction.|A quiet public space with minimal distraction (such as a library).|A public space with considerable background noise (such as a cafe).,fb_environment,2,object-2,probe_selfreport,Eligible,Voucher,Yes
13,1755089649089,13/08/2025 12:54,1755093249089,1,13/08/2025 14:54,233799,28,questionnaire-pawl,,48676964,BLINDED,13955495,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 141.0,1536x864,1536x703,,,0,Feedback,2,Page 1,rnfxsa,1,**Which best describes the environment you completed the experiment in?**,response,quantised,1,,A quiet room with no distraction.|A quiet public space with minimal distraction (such as a library).|A public space with considerable background noise (such as a cafe).,fb_environment,2,object-2,probe_selfreport,Eligible,Voucher,Yes
14,1755089649089,13/08/2025 12:54,1755093249089,1,13/08/2025 14:54,233799,28,questionnaire-pawl,,48676964,BLINDED,13955495,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 141.0,1536x864,1536x703,,,0,Feedback,2,Page 1,rnfxsa,1,**Did you use your phone at any point during the experiment? (Select all that apply)**,response,No,1,,"No|Yes, to answer a call.|Yes, I checked my messages.|Yes, I played music.|Yes, I had video playing on the side.",fb_phone,3,object-3,probe_selfreport,Eligible,Voucher,Yes
15,1755089649089,13/08/2025 12:54,1755093249089,1,13/08/2025 14:54,233799,28,questionnaire-pawl,,48676964,BLINDED,13955495,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 141.0,1536x864,1536x703,,,0,Feedback,2,Page 1,rnfxsa,1,**Did you use your phone at any point during the experiment? (Select all that apply)**,response,"Yes, to answer a call.",0,,"No|Yes, to answer a call.|Yes, I checked my messages.|Yes, I played music.|Yes, I had video playing on the side.",fb_phone,3,object-3,probe_selfreport,Eligible,Voucher,Yes
16,1755089649089,13/08/2025 12:54,1755093249089,1,13/08/2025 14:54,233799,28,questionnaire-pawl,,48676964,BLINDED,13955495,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 141.0,1536x864,1536x703,,,0,Feedback,2,Page 1,rnfxsa,1,**Did you use your phone at any point during the experiment? (Select all that apply)**,response,"Yes, I checked my messages.",0,,"No|Yes, to answer a call.|Yes, I checked my messages.|Yes, I played music.|Yes, I had video playing on the side.",fb_phone,3,object-3,probe_selfreport,Eligible,Voucher,Yes
17,1755089649089,13/08/2025 12:54,1755093249089,1,13/08/2025 14:54,233799,28,questionnaire-pawl,,48676964,BLINDED,13955495,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 141.0,1536x864,1536x703,,,0,Feedback,2,Page 1,rnfxsa,1,**Did you use your phone at any point during the experiment? (Select all that apply)**,response,"Yes, I played music.",0,,"No|Yes, to answer a call.|Yes, I checked my messages.|Yes, I played music.|Yes, I had video playing on the side.",fb_phone,3,object-3,probe_selfreport,Eligible,Voucher,Yes
18,1755089649089,13/08/2025 12:54,1755093249089,1,13/08/2025 14:54,233799,28,questionnaire-pawl,,48676964,BLINDED,13955495,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 141.0,1536x864,1536x703,,,0,Feedback,2,Page 1,rnfxsa,1,**Did you use your phone at any point during the experiment? (Select all that apply)**,response,"Yes, I had video playing on the side.",0,,"No|Yes, to answer a call.|Yes, I checked my messages.|Yes, I played music.|Yes, I had video playing on the side.",fb_phone,3,object-3,probe_selfreport,Eligible,Voucher,Yes
19,1755089649089,13/08/2025 12:54,1755093249089,1,13/08/2025 14:54,233799,28,questionnaire-pawl,,48676964,BLINDED,13955495,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 141.0,1536x864,1536x703,,,0,Feedback,2,Page 1,rnfxsa,1,**Did you use your phone at any point during the experiment? (Select all that apply)**,response,__other,0,,"No|Yes, to answer a call.|Yes, I checked my messages.|Yes, I played music.|Yes, I had video playing on the side.",fb_phone,3,object-3,probe_selfreport,Eligible,Voucher,Yes
20,1755089649089,13/08/2025 12:54,1755093249089,1,13/08/2025 14:54,233799,28,questionnaire-pawl,,48676964,BLINDED,13955495,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 141.0,1536x864,1536x703,,,0,Feedback,2,Page 1,rnfxsa,1,**How did you find participating in this experiment? Please tell us anything you'd like to share about your experience.**,response,value,,,,fb_comment,4,object-4,probe_selfreport,Eligible,Voucher,Yes
21,1755089649089,13/08/2025 12:54,1755093249089,1,13/08/2025 14:54,233799,28,questionnaire-pawl,,48676964,BLINDED,13955495,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 141.0,1536x864,1536x703,,,0,Feedback,2,,,,,info,,END,9799,,,,,probe_selfreport,Eligible,Voucher,Yes
1,1755279504532,15/08/2025 17:38,1755283104532,1,15/08/2025 19:38,233799,28,questionnaire-pawl,,48712563,BLINDED,13963720,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 139.0.0.0,1920x1080,1912x954,,,0,Feedback,2,,,,,info,,BEGIN,,,,,,selfreport_probe,Eligible,Voucher,Yes
12,1755279564714,15/08/2025 17:39,1755283164714,1,15/08/2025 19:39,233799,28,questionnaire-pawl,,48712563,BLINDED,13963720,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 139.0.0.0,1920x1080,1912x954,,,0,Feedback,2,Page 1,rnfxsa,1,**Which best describes the environment you completed the experiment in?**,response,value,A quiet room with no distraction.,,A quiet room with no distraction.|A quiet public space with minimal distraction (such as a library).|A public space with considerable background noise (such as a cafe).,fb_environment,2,object-2,selfreport_probe,Eligible,Voucher,Yes
13,1755279564714,15/08/2025 17:39,1755283164714,1,15/08/2025 19:39,233799,28,questionnaire-pawl,,48712563,BLINDED,13963720,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 139.0.0.0,1920x1080,1912x954,,,0,Feedback,2,Page 1,rnfxsa,1,**Which best describes the environment you completed the experiment in?**,response,quantised,1,,A quiet room with no distraction.|A quiet public space with minimal distraction (such as a library).|A public space with considerable background noise (such as a cafe).,fb_environment,2,object-2,selfreport_probe,Eligible,Voucher,Yes
14,1755279564715,15/08/2025 17:39,1755283164715,1,15/08/2025 19:39,233799,28,questionnaire-pawl,,48712563,BLINDED,13963720,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 139.0.0.0,1920x1080,1912x954,,,0,Feedback,2,Page 1,rnfxsa,1,**Did you use your phone at any point during the experiment? (Select all that apply)**,response,No,1,,"No|Yes, to answer a call.|Yes, I checked my messages.|Yes, I played music.|Yes, I had video playing on the side.",fb_phone,3,object-3,selfreport_probe,Eligible,Voucher,Yes
15,1755279564715,15/08/2025 17:39,1755283164715,1,15/08/2025 19:39,233799,28,questionnaire-pawl,,48712563,BLINDED,13963720,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 139.0.0.0,1920x1080,1912x954,,,0,Feedback,2,Page 1,rnfxsa,1,**Did you use your phone at any point during the experiment? (Select all that apply)**,response,"Yes, to answer a call.",0,,"No|Yes, to answer a call.|Yes, I checked my messages.|Yes, I played music.|Yes, I had video playing on the side.",fb_phone,3,object-3,selfreport_probe,Eligible,Voucher,Yes
16,1755279564715,15/08/2025 17:39,1755283164715,1,15/08/2025 19:39,233799,28,questionnaire-pawl,,48712563,BLINDED,13963720,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 139.0.0.0,1920x1080,1912x954,,,0,Feedback,2,Page 1,rnfxsa,1,**Did you use your phone at any point during the experiment? (Select all that apply)**,response,"Yes, I checked my messages.",0,,"No|Yes, to answer a call.|Yes, I checked my messages.|Yes, I played music.|Yes, I had video playing on the side.",fb_phone,3,object-3,selfreport_probe,Eligible,Voucher,Yes
17,1755279564716,15/08/2025 17:39,1755283164716,1,15/08/2025 19:39,233799,28,questionnaire-pawl,,48712563,BLINDED,13963720,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 139.0.0.0,1920x1080,1912x954,,,0,Feedback,2,Page 1,rnfxsa,1,**Did you use your phone at any point during the experiment? (Select all that apply)**,response,"Yes, I played music.",0,,"No|Yes, to answer a call.|Yes, I checked my messages.|Yes, I played music.|Yes, I had video playing on the side.",fb_phone,3,object-3,selfreport_probe,Eligible,Voucher,Yes
18,1755279564716,15/08/2025 17:39,1755283164716,1,15/08/2025 19:39,233799,28,questionnaire-pawl,,48712563,BLINDED,13963720,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 139.0.0.0,1920x1080,1912x954,,,0,Feedback,2,Page 1,rnfxsa,1,**Did you use your phone at any point during the experiment? (Select all that apply)**,response,"Yes, I had video playing on the side.",0,,"No|Yes, to answer a call.|Yes, I checked my messages.|Yes, I played music.|Yes, I had video playing on the side.",fb_phone,3,object-3,selfreport_probe,Eligible,Voucher,Yes
19,1755279564716,15/08/2025 17:39,1755283164716,1,15/08/2025 19:39,233799,28,questionnaire-pawl,,48712563,BLINDED,13963720,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 139.0.0.0,1920x1080,1912x954,,,0,Feedback,2,Page 1,rnfxsa,1,**Did you use your phone at any point during the experiment? (Select all that apply)**,response,__other,0,,"No|Yes, to answer a call.|Yes, I checked my messages.|Yes, I played music.|Yes, I had video playing on the side.",fb_phone,3,object-3,selfreport_probe,Eligible,Voucher,Yes
20,1755279564717,15/08/2025 17:39,1755283164717,1,15/08/2025 19:39,233799,28,questionnaire-pawl,,48712563,BLINDED,13963720,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 139.0.0.0,1920x1080,1912x954,,,0,Feedback,2,Page 1,rnfxsa,1,**How did you find participating in this experiment? Please tell us anything you'd like to share about your experience.**,response,value,I found it very interested. The instructions was clear and simply. I really enjoyed this experiment. ,,,fb_comment,4,object-4,selfreport_probe,Eligible,Voucher,Yes
21,1755279564718,15/08/2025 17:39,1755283164718,1,15/08/2025 19:39,233799,28,questionnaire-pawl,,48712563,BLINDED,13963720,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 139.0.0.0,1920x1080,1912x954,,,0,Feedback,2,,,,,info,,END,60153,,,,,selfreport_probe,Eligible,Voucher,Yes
1,1755290764184,15/08/2025 20:46,1755294364184,1,15/08/2025 22:46,233799,28,questionnaire-pawl,,48713676,BLINDED,13963957,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 139.0.0.0,1280x800,1280x712,,,0,Feedback,2,,,,,info,,BEGIN,,,,,,probe_selfreport,Eligible,Voucher,Yes
13,1755290794124,15/08/2025 20:46,1755294394124,1,15/08/2025 22:46,233799,28,questionnaire-pawl,,48713676,BLINDED,13963957,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 139.0.0.0,1280x800,1280x712,,,0,Feedback,2,Page 1,rnfxsa,1,**Which best describes the environment you completed the experiment in?**,response,value,__other,,A quiet room with no distraction.|A quiet public space with minimal distraction (such as a library).|A public space with considerable background noise (such as a cafe).,fb_environment,2,object-2,probe_selfreport,Eligible,Voucher,Yes
14,1755290794124,15/08/2025 20:46,1755294394124,1,15/08/2025 22:46,233799,28,questionnaire-pawl,,48713676,BLINDED,13963957,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 139.0.0.0,1280x800,1280x712,,,0,Feedback,2,Page 1,rnfxsa,1,**Which best describes the environment you completed the experiment in?**,response,quantised,4,,A quiet room with no distraction.|A quiet public space with minimal distraction (such as a library).|A public space with considerable background noise (such as a cafe).,fb_environment,2,object-2,probe_selfreport,Eligible,Voucher,Yes
15,1755290794124,15/08/2025 20:46,1755294394124,1,15/08/2025 22:46,233799,28,questionnaire-pawl,,48713676,BLINDED,13963957,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 139.0.0.0,1280x800,1280x712,,,0,Feedback,2,Page 1,rnfxsa,1,**Which best describes the environment you completed the experiment in?**,response,other,Bedroom with family in room over,,A quiet room with no distraction.|A quiet public space with minimal distraction (such as a library).|A public space with considerable background noise (such as a cafe).,fb_environment,2,object-2,probe_selfreport,Eligible,Voucher,Yes
16,1755290794124,15/08/2025 20:46,1755294394124,1,15/08/2025 22:46,233799,28,questionnaire-pawl,,48713676,BLINDED,13963957,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 139.0.0.0,1280x800,1280x712,,,0,Feedback,2,Page 1,rnfxsa,1,**Did you use your phone at any point during the experiment? (Select all that apply)**,response,No,1,,"No|Yes, to answer a call.|Yes, I checked my messages.|Yes, I played music.|Yes, I had video playing on the side.",fb_phone,3,object-3,probe_selfreport,Eligible,Voucher,Yes
17,1755290794125,15/08/2025 20:46,1755294394125,1,15/08/2025 22:46,233799,28,questionnaire-pawl,,48713676,BLINDED,13963957,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 139.0.0.0,1280x800,1280x712,,,0,Feedback,2,Page 1,rnfxsa,1,**Did you use your phone at any point during the experiment? (Select all that apply)**,response,"Yes, to answer a call.",0,,"No|Yes, to answer a call.|Yes, I checked my messages.|Yes, I played music.|Yes, I had video playing on the side.",fb_phone,3,object-3,probe_selfreport,Eligible,Voucher,Yes
18,1755290794125,15/08/2025 20:46,1755294394125,1,15/08/2025 22:46,233799,28,questionnaire-pawl,,48713676,BLINDED,13963957,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 139.0.0.0,1280x800,1280x712,,,0,Feedback,2,Page 1,rnfxsa,1,**Did you use your phone at any point during the experiment? (Select all that apply)**,response,"Yes, I checked my messages.",0,,"No|Yes, to answer a call.|Yes, I checked my messages.|Yes, I played music.|Yes, I had video playing on the side.",fb_phone,3,object-3,probe_selfreport,Eligible,Voucher,Yes
19,1755290794125,15/08/2025 20:46,1755294394125,1,15/08/2025 22:46,233799,28,questionnaire-pawl,,48713676,BLINDED,13963957,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 139.0.0.0,1280x800,1280x712,,,0,Feedback,2,Page 1,rnfxsa,1,**Did you use your phone at any point during the experiment? (Select all that apply)**,response,"Yes, I played music.",0,,"No|Yes, to answer a call.|Yes, I checked my messages.|Yes, I played music.|Yes, I had video playing on the side.",fb_phone,3,object-3,probe_selfreport,Eligible,Voucher,Yes
20,1755290794126,15/08/2025 20:46,1755294394126,1,15/08/2025 22:46,233799,28,questionnaire-pawl,,48713676,BLINDED,13963957,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 139.0.0.0,1280x800,1280x712,,,0,Feedback,2,Page 1,rnfxsa,1,**Did you use your phone at any point during the experiment? (Select all that apply)**,response,"Yes, I had video playing on the side.",0,,"No|Yes, to answer a call.|Yes, I checked my messages.|Yes, I played music.|Yes, I had video playing on the side.",fb_phone,3,object-3,probe_selfreport,Eligible,Voucher,Yes
21,1755290794126,15/08/2025 20:46,1755294394126,1,15/08/2025 22:46,233799,28,questionnaire-pawl,,48713676,BLINDED,13963957,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 139.0.0.0,1280x800,1280x712,,,0,Feedback,2,Page 1,rnfxsa,1,**Did you use your phone at any point during the experiment? (Select all that apply)**,response,__other,0,,"No|Yes, to answer a call.|Yes, I checked my messages.|Yes, I played music.|Yes, I had video playing on the side.",fb_phone,3,object-3,probe_selfreport,Eligible,Voucher,Yes
22,1755290794126,15/08/2025 20:46,1755294394126,1,15/08/2025 22:46,233799,28,questionnaire-pawl,,48713676,BLINDED,13963957,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 139.0.0.0,1280x800,1280x712,,,0,Feedback,2,Page 1,rnfxsa,1,**How did you find participating in this experiment? Please tell us anything you'd like to share about your experience.**,response,value,I found it fun,,,fb_comment,4,object-4,probe_selfreport,Eligible,Voucher,Yes
23,1755290794127,15/08/2025 20:46,1755294394127,1,15/08/2025 22:46,233799,28,questionnaire-pawl,,48713676,BLINDED,13963957,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 139.0.0.0,1280x800,1280x712,,,0,Feedback,2,,,,,info,,END,29904,,,,,probe_selfreport,Eligible,Voucher,Yes
END OF FILE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
