Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-mq2e,branch-s3b7,Manipulation: Randomise questionnaire elements?,Question Key,Response,branch-dgjt
2,1753783132184,29/07/2025 09:58,1753783132116,1,29/07/2025 10:58,234742,9,questionnaire-q1t6,,48386725,BLINDED,13889851,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 137.0.0.0,1536x864,1513x738,,,,Debrief sheet,5,selfreport_probe,Eligible,No,END QUESTIONNAIRE,3035,No Voucher
1,1753795628729,29/07/2025 13:27,1753795628107,1,29/07/2025 14:27,234742,9,questionnaire-q1t6,,48396792,BLINDED,13891246,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x746,,,,Debrief sheet,5,probe_selfreport,Eligible,No,BEGIN QUESTIONNAIRE,,No Voucher
2,1753795680524,29/07/2025 13:28,1753795679935,1,29/07/2025 14:27,234742,9,questionnaire-q1t6,,48396792,BLINDED,13891246,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1513x746,,,,Debrief sheet,5,probe_selfreport,Eligible,No,END QUESTIONNAIRE,51828,No Voucher
1,1754046268938,01/08/2025 11:04,1754046268355,1,01/08/2025 12:04,234742,9,questionnaire-q1t6,,48475303,BLINDED,13907280,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 137.0.0.0,1536x864,1528x738,,,,Debrief sheet,5,probe_selfreport,Eligible,No,BEGIN QUESTIONNAIRE,,No Voucher
2,1754046286917,01/08/2025 11:04,1754046286306,1,01/08/2025 12:04,234742,9,questionnaire-q1t6,,48475303,BLINDED,13907280,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 137.0.0.0,1536x864,1513x738,,,,Debrief sheet,5,probe_selfreport,Eligible,No,END QUESTIONNAIRE,17951,No Voucher
1,1754050160220,01/08/2025 12:09,1754050160121,1,01/08/2025 13:09,234742,9,questionnaire-q1t6,,48476754,BLINDED,13907670,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1680x1050,1680x970,,,,Debrief sheet,5,probe_selfreport,Eligible,No,BEGIN QUESTIONNAIRE,,No Voucher
2,1754050164372,01/08/2025 12:09,1754050164349,1,01/08/2025 13:09,234742,9,questionnaire-q1t6,,48476754,BLINDED,13907670,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1680x1050,1680x970,,,,Debrief sheet,5,probe_selfreport,Eligible,No,END QUESTIONNAIRE,4228,No Voucher
1,1754068612690,01/08/2025 17:16,1754068612444,1,01/08/2025 18:16,234742,9,questionnaire-q1t6,,48483799,BLINDED,13909813,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x746,,,,Debrief sheet,5,probe_selfreport,Eligible,No,BEGIN QUESTIONNAIRE,,No Voucher
2,1754068627309,01/08/2025 17:17,1754068627111,1,01/08/2025 18:17,234742,9,questionnaire-q1t6,,48483799,BLINDED,13909813,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1513x746,,,,Debrief sheet,5,probe_selfreport,Eligible,No,END QUESTIONNAIRE,14668,No Voucher
1,1754422790349,05/08/2025 19:39,1754422789746,1,05/08/2025 20:39,234742,9,questionnaire-q1t6,,48540416,BLINDED,13926988,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 136.0.0.0,1536x864,1536x730,,,,Debrief sheet,5,selfreport_probe,Eligible,No,BEGIN QUESTIONNAIRE,,No Voucher
2,1754422797414,05/08/2025 19:39,1754422796743,1,05/08/2025 20:39,234742,9,questionnaire-q1t6,,48540416,BLINDED,13926988,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 136.0.0.0,1536x864,1536x730,,,,Debrief sheet,5,selfreport_probe,Eligible,No,END QUESTIONNAIRE,6997,No Voucher
1,1754571681764,07/08/2025 13:01,1754571682469,1,07/08/2025 14:01,234742,9,questionnaire-q1t6,,48579716,BLINDED,13935420,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,,Debrief sheet,5,selfreport_probe,Eligible,No,BEGIN QUESTIONNAIRE,,No Voucher
2,1754571706359,07/08/2025 13:01,1754571707091,1,07/08/2025 14:01,234742,9,questionnaire-q1t6,,48579716,BLINDED,13935420,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1513x708,,,,Debrief sheet,5,selfreport_probe,Eligible,No,END QUESTIONNAIRE,24622,No Voucher
END OF FILE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
