Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-3edb,checkpoint-sudm,branch-hm4e,branch-vf4a,checkpoint-35ov,Randomise questionnaire elements?,Question Key,Response
1,1722212750828,29/07/2024 00:25:50,1722212750549,1,29/07/2024 01:25:50,180633,7,questionnaire-2hcl,,39247163,BLIND,11510881,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1536x729,Prize Draw,,,Demographics Questionnaire,3,Set2,Consent,Over 18,Proficiency English,Prize Draw,No,BEGIN QUESTIONNAIRE,
2,1722212761819,29/07/2024 00:26:01,1722212761580,1,29/07/2024 01:26:01,180633,7,questionnaire-2hcl,,39247163,BLIND,11510881,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1536x729,Prize Draw,,,Demographics Questionnaire,3,Set2,Consent,Over 18,Proficiency English,Prize Draw,No,Age,30
3,1722212761881,29/07/2024 00:26:01,1722212761581,1,29/07/2024 01:26:01,180633,7,questionnaire-2hcl,,39247163,BLIND,11510881,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1536x729,Prize Draw,,,Demographics Questionnaire,3,Set2,Consent,Over 18,Proficiency English,Prize Draw,No,Gender,Male
4,1722212761881,29/07/2024 00:26:01,1722212761581,1,29/07/2024 01:26:01,180633,7,questionnaire-2hcl,,39247163,BLIND,11510881,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1536x729,Prize Draw,,,Demographics Questionnaire,3,Set2,Consent,Over 18,Proficiency English,Prize Draw,No,Gender-quantised,1
5,1722212761881,29/07/2024 00:26:01,1722212761581,1,29/07/2024 01:26:01,180633,7,questionnaire-2hcl,,39247163,BLIND,11510881,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1536x729,Prize Draw,,,Demographics Questionnaire,3,Set2,Consent,Over 18,Proficiency English,Prize Draw,No,Gender-text,
6,1722212761881,29/07/2024 00:26:01,1722212761581,1,29/07/2024 01:26:01,180633,7,questionnaire-2hcl,,39247163,BLIND,11510881,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1536x729,Prize Draw,,,Demographics Questionnaire,3,Set2,Consent,Over 18,Proficiency English,Prize Draw,No,multilingual,No
7,1722212761881,29/07/2024 00:26:01,1722212761581,1,29/07/2024 01:26:01,180633,7,questionnaire-2hcl,,39247163,BLIND,11510881,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1536x729,Prize Draw,,,Demographics Questionnaire,3,Set2,Consent,Over 18,Proficiency English,Prize Draw,No,multilingual-quantised,1
8,1722212761881,29/07/2024 00:26:01,1722212761582,1,29/07/2024 01:26:01,180633,7,questionnaire-2hcl,,39247163,BLIND,11510881,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1536x729,Prize Draw,,,Demographics Questionnaire,3,Set2,Consent,Over 18,Proficiency English,Prize Draw,No,OCD_Diagnosis,No
9,1722212761881,29/07/2024 00:26:01,1722212761582,1,29/07/2024 01:26:01,180633,7,questionnaire-2hcl,,39247163,BLIND,11510881,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1536x729,Prize Draw,,,Demographics Questionnaire,3,Set2,Consent,Over 18,Proficiency English,Prize Draw,No,OCD_Diagnosis-quantised,2
10,1722212761881,29/07/2024 00:26:01,1722212761582,1,29/07/2024 01:26:01,180633,7,questionnaire-2hcl,,39247163,BLIND,11510881,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1536x729,Prize Draw,,,Demographics Questionnaire,3,Set2,Consent,Over 18,Proficiency English,Prize Draw,No,END QUESTIONNAIRE,11033
END OF FILE
