origID,set,age,gender,gender_text,Did you use a calculator at all during the experiment?,Which best describes the environment you completed the experiment in?,How did you find participating in this experiment? Please tell us anything you'd like to share about your experience.,Question,No,"Yes, to answer a call.","Yes, I checked my messages.","Yes, I played music.","Yes, I had video playing on the side.",__other
12599775,set2,59,Woman,NA,No,__other,interesting- i had to concentrate harder during division questions,Did you use your phone at any point during the experiment? (Select all that apply),1,0,0,0,0,0
12601909,set1,49,Man,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12612642,set1,56,Woman,NA,No,A quiet room with no distraction.,"The more difficult the sum i lost interest in trying to get it right. I
",Did you use your phone at any point during the experiment? (Select all that apply),1,0,0,0,0,0
12637164,set1,47,Woman,NA,No,A quiet room with no distraction.,"Although I was in a room on my own, I was distracted by being asked questions to start with by someone else. I found it hard to concentrate on some of the more difficult sums and I felt tired towards the end. I found my mind wandering and hadn't really noticed I did that before taking part in this experiment.",Did you use your phone at any point during the experiment? (Select all that apply),1,0,0,0,0,0
12608669,set2,60,Woman,NA,No,__other,"Fun but determined to remain on task
",Did you use your phone at any point during the experiment? (Select all that apply),1,0,0,0,0,0
12599877,set1,63,Man,NA,Only for a specific question,A quiet room with no distraction.,NA,Did you use your phone at any point during the experiment? (Select all that apply),1,0,0,0,0,0
12598828,set2,47,Woman,NA,Only for a specific question,A quiet room with no distraction.,"I felt I got quicker as the questions went on, but slowed and started to lose interest as they got harder",Did you use your phone at any point during the experiment? (Select all that apply),1,0,0,0,0,0
12560076,set2,22,Woman,NA,No,__other,"Was more focused when it was easy questions I could answer quickly
Easy to follow",Did you use your phone at any point during the experiment? (Select all that apply),1,0,0,0,0,0
12544293,set2,20,Man,NA,No,A quiet room with no distraction.,"was alright
",Did you use your phone at any point during the experiment? (Select all that apply),1,0,0,0,0,0
12541956,set2,18,Man,NA,No,A quiet room with no distraction.,got bored halfway through during the breaks however i came back sharper after the breaks,Did you use your phone at any point during the experiment? (Select all that apply),0,0,1,1,0,0
12536940,set2,50,Man,NA,No,__other,"Fine 
I enjoy maths",Did you use your phone at any point during the experiment? (Select all that apply),1,0,0,0,0,0
12536225,set1,21,Woman,NA,No,A public space with considerable background noise (such as a cafe).,"Frustrating becuase I cannot do maths. Sorry, but it was also fun, lol",Did you use your phone at any point during the experiment? (Select all that apply),1,0,0,0,0,0
12533623,set1,20,Man,NA,No,A quiet room with no distraction.,NA,Did you use your phone at any point during the experiment? (Select all that apply),1,0,0,0,0,0
12493669,set2,21,Woman,NA,No,A quiet room with no distraction.,made me question my maths ability,Did you use your phone at any point during the experiment? (Select all that apply),1,0,0,0,0,0
12602000,set2,68,Man,NA,No,A quiet room with no distraction.,"I found it strangely relaxing and enjoyable.
My only wandering was when trying to work out whether the questions were totally random or whether there was a sequence to them",Did you use your phone at any point during the experiment? (Select all that apply),1,0,0,0,0,0
