Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID,randomiser-mq2e,branch-s3b7,branch-dgjt
22,1753208979279,22/07/2025 18:29,1753212579279,1,22/07/2025 20:29,234742,9,questionnaire-pawl,,48253131,BLINDED,13861171,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1440x820,,,0,Feedback,2,Page 1,rnfxsa,1,**How did you find participating in this experiment? Please tell us anything you'd like to share about your experience.**,response,value,,,,fb_comment,4,object-4,selfreport_probe,Eligible,No Voucher
23,1753208979279,22/07/2025 18:29,1753212579279,1,22/07/2025 20:29,234742,9,questionnaire-pawl,,48253131,BLINDED,13861171,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1440x820,,,0,Feedback,2,,,,,info,,END,45359,,,,,selfreport_probe,Eligible,No Voucher
1,1753261876751,23/07/2025 09:11,1753265476751,1,23/07/2025 11:11,234742,9,questionnaire-pawl,,48260473,BLINDED,13862736,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1424x718,,,0,Feedback,2,,,,,info,,BEGIN,,,,,,probe_selfreport,Eligible,Voucher
13,1753262039596,23/07/2025 09:13,1753265639596,1,23/07/2025 11:13,234742,9,questionnaire-pawl,,48260473,BLINDED,13862736,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1424x718,,,0,Feedback,2,Page 1,rnfxsa,1,**Which best describes the environment you completed the experiment in?**,response,value,A quiet room with no distraction.,,A quiet room with no distraction.|A quiet public space with minimal distraction (such as a library).|A public space with considerable background noise (such as a cafe).,fb_environment,2,object-2,probe_selfreport,Eligible,Voucher
14,1753262039596,23/07/2025 09:13,1753265639596,1,23/07/2025 11:13,234742,9,questionnaire-pawl,,48260473,BLINDED,13862736,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1424x718,,,0,Feedback,2,Page 1,rnfxsa,1,**Which best describes the environment you completed the experiment in?**,response,quantised,1,,A quiet room with no distraction.|A quiet public space with minimal distraction (such as a library).|A public space with considerable background noise (such as a cafe).,fb_environment,2,object-2,probe_selfreport,Eligible,Voucher
15,1753262039597,23/07/2025 09:13,1753265639597,1,23/07/2025 11:13,234742,9,questionnaire-pawl,,48260473,BLINDED,13862736,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1424x718,,,0,Feedback,2,Page 1,rnfxsa,1,**Did you use your phone at any point during the experiment? (Select all that apply)**,response,No,0,,"No|Yes, to answer a call.|Yes, I checked my messages.|Yes, I played music.|Yes, I had video playing on the side.",fb_phone,3,object-3,probe_selfreport,Eligible,Voucher
16,1753262039597,23/07/2025 09:13,1753265639597,1,23/07/2025 11:13,234742,9,questionnaire-pawl,,48260473,BLINDED,13862736,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1424x718,,,0,Feedback,2,Page 1,rnfxsa,1,**Did you use your phone at any point during the experiment? (Select all that apply)**,response,"Yes, to answer a call.",0,,"No|Yes, to answer a call.|Yes, I checked my messages.|Yes, I played music.|Yes, I had video playing on the side.",fb_phone,3,object-3,probe_selfreport,Eligible,Voucher
17,1753262039597,23/07/2025 09:13,1753265639597,1,23/07/2025 11:13,234742,9,questionnaire-pawl,,48260473,BLINDED,13862736,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1424x718,,,0,Feedback,2,Page 1,rnfxsa,1,**Did you use your phone at any point during the experiment? (Select all that apply)**,response,"Yes, I checked my messages.",0,,"No|Yes, to answer a call.|Yes, I checked my messages.|Yes, I played music.|Yes, I had video playing on the side.",fb_phone,3,object-3,probe_selfreport,Eligible,Voucher
18,1753262039597,23/07/2025 09:13,1753265639597,1,23/07/2025 11:13,234742,9,questionnaire-pawl,,48260473,BLINDED,13862736,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1424x718,,,0,Feedback,2,Page 1,rnfxsa,1,**Did you use your phone at any point during the experiment? (Select all that apply)**,response,"Yes, I played music.",0,,"No|Yes, to answer a call.|Yes, I checked my messages.|Yes, I played music.|Yes, I had video playing on the side.",fb_phone,3,object-3,probe_selfreport,Eligible,Voucher
19,1753262039597,23/07/2025 09:13,1753265639597,1,23/07/2025 11:13,234742,9,questionnaire-pawl,,48260473,BLINDED,13862736,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1424x718,,,0,Feedback,2,Page 1,rnfxsa,1,**Did you use your phone at any point during the experiment? (Select all that apply)**,response,"Yes, I had video playing on the side.",0,,"No|Yes, to answer a call.|Yes, I checked my messages.|Yes, I played music.|Yes, I had video playing on the side.",fb_phone,3,object-3,probe_selfreport,Eligible,Voucher
20,1753262039597,23/07/2025 09:13,1753265639597,1,23/07/2025 11:13,234742,9,questionnaire-pawl,,48260473,BLINDED,13862736,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1424x718,,,0,Feedback,2,Page 1,rnfxsa,1,**Did you use your phone at any point during the experiment? (Select all that apply)**,response,__other,1,,"No|Yes, to answer a call.|Yes, I checked my messages.|Yes, I played music.|Yes, I had video playing on the side.",fb_phone,3,object-3,probe_selfreport,Eligible,Voucher
21,1753262039597,23/07/2025 09:13,1753265639597,1,23/07/2025 11:13,234742,9,questionnaire-pawl,,48260473,BLINDED,13862736,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1424x718,,,0,Feedback,2,Page 1,rnfxsa,1,**Did you use your phone at any point during the experiment? (Select all that apply)**,response,other,To text someone about the task,,"No|Yes, to answer a call.|Yes, I checked my messages.|Yes, I played music.|Yes, I had video playing on the side.",fb_phone,3,object-3,probe_selfreport,Eligible,Voucher
22,1753262039597,23/07/2025 09:13,1753265639597,1,23/07/2025 11:13,234742,9,questionnaire-pawl,,48260473,BLINDED,13862736,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1424x718,,,0,Feedback,2,Page 1,rnfxsa,1,**How did you find participating in this experiment? Please tell us anything you'd like to share about your experience.**,response,value,Lost track a bit of my method when I got one of the answers wrong.,,,fb_comment,4,object-4,probe_selfreport,Eligible,Voucher
23,1753262039598,23/07/2025 09:13,1753265639598,1,23/07/2025 11:13,234742,9,questionnaire-pawl,,48260473,BLINDED,13862736,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1424x718,,,0,Feedback,2,,,,,info,,END,162808,,,,,probe_selfreport,Eligible,Voucher
1,1753264717047,23/07/2025 09:58,1753268317047,1,23/07/2025 11:58,234742,9,questionnaire-pawl,,48261285,BLINDED,13863654,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1280x720,1272x594,,,0,Feedback,2,,,,,info,,BEGIN,,,,,,selfreport_probe,Eligible,Voucher
12,1753264739543,23/07/2025 09:58,1753268339543,1,23/07/2025 11:58,234742,9,questionnaire-pawl,,48261285,BLINDED,13863654,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1280x720,1272x594,,,0,Feedback,2,Page 1,rnfxsa,1,**Which best describes the environment you completed the experiment in?**,response,value,A quiet room with no distraction.,,A quiet room with no distraction.|A quiet public space with minimal distraction (such as a library).|A public space with considerable background noise (such as a cafe).,fb_environment,2,object-2,selfreport_probe,Eligible,Voucher
13,1753264739543,23/07/2025 09:58,1753268339543,1,23/07/2025 11:58,234742,9,questionnaire-pawl,,48261285,BLINDED,13863654,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1280x720,1272x594,,,0,Feedback,2,Page 1,rnfxsa,1,**Which best describes the environment you completed the experiment in?**,response,quantised,1,,A quiet room with no distraction.|A quiet public space with minimal distraction (such as a library).|A public space with considerable background noise (such as a cafe).,fb_environment,2,object-2,selfreport_probe,Eligible,Voucher
14,1753264739543,23/07/2025 09:58,1753268339543,1,23/07/2025 11:58,234742,9,questionnaire-pawl,,48261285,BLINDED,13863654,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1280x720,1272x594,,,0,Feedback,2,Page 1,rnfxsa,1,**Did you use your phone at any point during the experiment? (Select all that apply)**,response,No,1,,"No|Yes, to answer a call.|Yes, I checked my messages.|Yes, I played music.|Yes, I had video playing on the side.",fb_phone,3,object-3,selfreport_probe,Eligible,Voucher
15,1753264739544,23/07/2025 09:58,1753268339544,1,23/07/2025 11:58,234742,9,questionnaire-pawl,,48261285,BLINDED,13863654,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1280x720,1272x594,,,0,Feedback,2,Page 1,rnfxsa,1,**Did you use your phone at any point during the experiment? (Select all that apply)**,response,"Yes, to answer a call.",0,,"No|Yes, to answer a call.|Yes, I checked my messages.|Yes, I played music.|Yes, I had video playing on the side.",fb_phone,3,object-3,selfreport_probe,Eligible,Voucher
16,1753264739544,23/07/2025 09:58,1753268339544,1,23/07/2025 11:58,234742,9,questionnaire-pawl,,48261285,BLINDED,13863654,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1280x720,1272x594,,,0,Feedback,2,Page 1,rnfxsa,1,**Did you use your phone at any point during the experiment? (Select all that apply)**,response,"Yes, I checked my messages.",0,,"No|Yes, to answer a call.|Yes, I checked my messages.|Yes, I played music.|Yes, I had video playing on the side.",fb_phone,3,object-3,selfreport_probe,Eligible,Voucher
17,1753264739544,23/07/2025 09:58,1753268339544,1,23/07/2025 11:58,234742,9,questionnaire-pawl,,48261285,BLINDED,13863654,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1280x720,1272x594,,,0,Feedback,2,Page 1,rnfxsa,1,**Did you use your phone at any point during the experiment? (Select all that apply)**,response,"Yes, I played music.",0,,"No|Yes, to answer a call.|Yes, I checked my messages.|Yes, I played music.|Yes, I had video playing on the side.",fb_phone,3,object-3,selfreport_probe,Eligible,Voucher
18,1753264739545,23/07/2025 09:58,1753268339545,1,23/07/2025 11:58,234742,9,questionnaire-pawl,,48261285,BLINDED,13863654,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1280x720,1272x594,,,0,Feedback,2,Page 1,rnfxsa,1,**Did you use your phone at any point during the experiment? (Select all that apply)**,response,"Yes, I had video playing on the side.",0,,"No|Yes, to answer a call.|Yes, I checked my messages.|Yes, I played music.|Yes, I had video playing on the side.",fb_phone,3,object-3,selfreport_probe,Eligible,Voucher
19,1753264739545,23/07/2025 09:58,1753268339545,1,23/07/2025 11:58,234742,9,questionnaire-pawl,,48261285,BLINDED,13863654,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1280x720,1272x594,,,0,Feedback,2,Page 1,rnfxsa,1,**Did you use your phone at any point during the experiment? (Select all that apply)**,response,__other,0,,"No|Yes, to answer a call.|Yes, I checked my messages.|Yes, I played music.|Yes, I had video playing on the side.",fb_phone,3,object-3,selfreport_probe,Eligible,Voucher
20,1753264739546,23/07/2025 09:58,1753268339546,1,23/07/2025 11:58,234742,9,questionnaire-pawl,,48261285,BLINDED,13863654,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1280x720,1272x594,,,0,Feedback,2,Page 1,rnfxsa,1,**How did you find participating in this experiment? Please tell us anything you'd like to share about your experience.**,response,value,,,,fb_comment,4,object-4,selfreport_probe,Eligible,Voucher
21,1753264739546,23/07/2025 09:58,1753268339546,1,23/07/2025 11:58,234742,9,questionnaire-pawl,,48261285,BLINDED,13863654,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1280x720,1272x594,,,0,Feedback,2,,,,,info,,END,22459,,,,,selfreport_probe,Eligible,Voucher
1,1753265703756,23/07/2025 10:15,1753269303756,1,23/07/2025 12:15,234742,9,questionnaire-pawl,,48261939,BLINDED,13863726,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6.1,1152x720,1152x640,,,0,Feedback,2,,,,,info,,BEGIN,,,,,,probe_selfreport,Eligible,Voucher
12,1753265791020,23/07/2025 10:16,1753269391020,1,23/07/2025 12:16,234742,9,questionnaire-pawl,,48261939,BLINDED,13863726,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6.1,1152x720,1152x640,,,0,Feedback,2,Page 1,rnfxsa,1,**Which best describes the environment you completed the experiment in?**,response,value,A quiet room with no distraction.,,A quiet room with no distraction.|A quiet public space with minimal distraction (such as a library).|A public space with considerable background noise (such as a cafe).,fb_environment,2,object-2,probe_selfreport,Eligible,Voucher
13,1753265791020,23/07/2025 10:16,1753269391020,1,23/07/2025 12:16,234742,9,questionnaire-pawl,,48261939,BLINDED,13863726,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6.1,1152x720,1152x640,,,0,Feedback,2,Page 1,rnfxsa,1,**Which best describes the environment you completed the experiment in?**,response,quantised,1,,A quiet room with no distraction.|A quiet public space with minimal distraction (such as a library).|A public space with considerable background noise (such as a cafe).,fb_environment,2,object-2,probe_selfreport,Eligible,Voucher
14,1753265791020,23/07/2025 10:16,1753269391020,1,23/07/2025 12:16,234742,9,questionnaire-pawl,,48261939,BLINDED,13863726,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6.1,1152x720,1152x640,,,0,Feedback,2,Page 1,rnfxsa,1,**Did you use your phone at any point during the experiment? (Select all that apply)**,response,No,1,,"No|Yes, to answer a call.|Yes, I checked my messages.|Yes, I played music.|Yes, I had video playing on the side.",fb_phone,3,object-3,probe_selfreport,Eligible,Voucher
15,1753265791020,23/07/2025 10:16,1753269391020,1,23/07/2025 12:16,234742,9,questionnaire-pawl,,48261939,BLINDED,13863726,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6.1,1152x720,1152x640,,,0,Feedback,2,Page 1,rnfxsa,1,**Did you use your phone at any point during the experiment? (Select all that apply)**,response,"Yes, to answer a call.",0,,"No|Yes, to answer a call.|Yes, I checked my messages.|Yes, I played music.|Yes, I had video playing on the side.",fb_phone,3,object-3,probe_selfreport,Eligible,Voucher
16,1753265791020,23/07/2025 10:16,1753269391020,1,23/07/2025 12:16,234742,9,questionnaire-pawl,,48261939,BLINDED,13863726,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6.1,1152x720,1152x640,,,0,Feedback,2,Page 1,rnfxsa,1,**Did you use your phone at any point during the experiment? (Select all that apply)**,response,"Yes, I checked my messages.",0,,"No|Yes, to answer a call.|Yes, I checked my messages.|Yes, I played music.|Yes, I had video playing on the side.",fb_phone,3,object-3,probe_selfreport,Eligible,Voucher
17,1753265791020,23/07/2025 10:16,1753269391020,1,23/07/2025 12:16,234742,9,questionnaire-pawl,,48261939,BLINDED,13863726,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6.1,1152x720,1152x640,,,0,Feedback,2,Page 1,rnfxsa,1,**Did you use your phone at any point during the experiment? (Select all that apply)**,response,"Yes, I played music.",0,,"No|Yes, to answer a call.|Yes, I checked my messages.|Yes, I played music.|Yes, I had video playing on the side.",fb_phone,3,object-3,probe_selfreport,Eligible,Voucher
18,1753265791021,23/07/2025 10:16,1753269391021,1,23/07/2025 12:16,234742,9,questionnaire-pawl,,48261939,BLINDED,13863726,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6.1,1152x720,1152x640,,,0,Feedback,2,Page 1,rnfxsa,1,**Did you use your phone at any point during the experiment? (Select all that apply)**,response,"Yes, I had video playing on the side.",0,,"No|Yes, to answer a call.|Yes, I checked my messages.|Yes, I played music.|Yes, I had video playing on the side.",fb_phone,3,object-3,probe_selfreport,Eligible,Voucher
19,1753265791021,23/07/2025 10:16,1753269391021,1,23/07/2025 12:16,234742,9,questionnaire-pawl,,48261939,BLINDED,13863726,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6.1,1152x720,1152x640,,,0,Feedback,2,Page 1,rnfxsa,1,**Did you use your phone at any point during the experiment? (Select all that apply)**,response,__other,0,,"No|Yes, to answer a call.|Yes, I checked my messages.|Yes, I played music.|Yes, I had video playing on the side.",fb_phone,3,object-3,probe_selfreport,Eligible,Voucher
20,1753265791021,23/07/2025 10:16,1753269391021,1,23/07/2025 12:16,234742,9,questionnaire-pawl,,48261939,BLINDED,13863726,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6.1,1152x720,1152x640,,,0,Feedback,2,Page 1,rnfxsa,1,**How did you find participating in this experiment? Please tell us anything you'd like to share about your experience.**,response,value,Very interesting to see how much my own mind wandered throughout the tasks. ,,,fb_comment,4,object-4,probe_selfreport,Eligible,Voucher
21,1753265791021,23/07/2025 10:16,1753269391021,1,23/07/2025 12:16,234742,9,questionnaire-pawl,,48261939,BLINDED,13863726,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6.1,1152x720,1152x640,,,0,Feedback,2,,,,,info,,END,87189,,,,,probe_selfreport,Eligible,Voucher
1,1753277572553,23/07/2025 13:32,1753281172553,1,23/07/2025 15:32,234742,9,questionnaire-pawl,,48266870,BLINDED,13865096,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,Feedback,2,,,,,info,,BEGIN,,,,,,selfreport_probe,Eligible,Voucher
12,1753277611095,23/07/2025 13:33,1753281211095,1,23/07/2025 15:33,234742,9,questionnaire-pawl,,48266870,BLINDED,13865096,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,Feedback,2,Page 1,rnfxsa,1,**Which best describes the environment you completed the experiment in?**,response,value,A public space with considerable background noise (such as a cafe).,,A quiet room with no distraction.|A quiet public space with minimal distraction (such as a library).|A public space with considerable background noise (such as a cafe).,fb_environment,2,object-2,selfreport_probe,Eligible,Voucher
13,1753277611096,23/07/2025 13:33,1753281211096,1,23/07/2025 15:33,234742,9,questionnaire-pawl,,48266870,BLINDED,13865096,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,Feedback,2,Page 1,rnfxsa,1,**Which best describes the environment you completed the experiment in?**,response,quantised,3,,A quiet room with no distraction.|A quiet public space with minimal distraction (such as a library).|A public space with considerable background noise (such as a cafe).,fb_environment,2,object-2,selfreport_probe,Eligible,Voucher
14,1753277611096,23/07/2025 13:33,1753281211096,1,23/07/2025 15:33,234742,9,questionnaire-pawl,,48266870,BLINDED,13865096,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,Feedback,2,Page 1,rnfxsa,1,**Did you use your phone at any point during the experiment? (Select all that apply)**,response,No,1,,"No|Yes, to answer a call.|Yes, I checked my messages.|Yes, I played music.|Yes, I had video playing on the side.",fb_phone,3,object-3,selfreport_probe,Eligible,Voucher
15,1753277611097,23/07/2025 13:33,1753281211097,1,23/07/2025 15:33,234742,9,questionnaire-pawl,,48266870,BLINDED,13865096,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,Feedback,2,Page 1,rnfxsa,1,**Did you use your phone at any point during the experiment? (Select all that apply)**,response,"Yes, to answer a call.",0,,"No|Yes, to answer a call.|Yes, I checked my messages.|Yes, I played music.|Yes, I had video playing on the side.",fb_phone,3,object-3,selfreport_probe,Eligible,Voucher
16,1753277611097,23/07/2025 13:33,1753281211097,1,23/07/2025 15:33,234742,9,questionnaire-pawl,,48266870,BLINDED,13865096,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,Feedback,2,Page 1,rnfxsa,1,**Did you use your phone at any point during the experiment? (Select all that apply)**,response,"Yes, I checked my messages.",0,,"No|Yes, to answer a call.|Yes, I checked my messages.|Yes, I played music.|Yes, I had video playing on the side.",fb_phone,3,object-3,selfreport_probe,Eligible,Voucher
17,1753277611098,23/07/2025 13:33,1753281211098,1,23/07/2025 15:33,234742,9,questionnaire-pawl,,48266870,BLINDED,13865096,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,Feedback,2,Page 1,rnfxsa,1,**Did you use your phone at any point during the experiment? (Select all that apply)**,response,"Yes, I played music.",0,,"No|Yes, to answer a call.|Yes, I checked my messages.|Yes, I played music.|Yes, I had video playing on the side.",fb_phone,3,object-3,selfreport_probe,Eligible,Voucher
18,1753277611099,23/07/2025 13:33,1753281211099,1,23/07/2025 15:33,234742,9,questionnaire-pawl,,48266870,BLINDED,13865096,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,Feedback,2,Page 1,rnfxsa,1,**Did you use your phone at any point during the experiment? (Select all that apply)**,response,"Yes, I had video playing on the side.",0,,"No|Yes, to answer a call.|Yes, I checked my messages.|Yes, I played music.|Yes, I had video playing on the side.",fb_phone,3,object-3,selfreport_probe,Eligible,Voucher
19,1753277611100,23/07/2025 13:33,1753281211100,1,23/07/2025 15:33,234742,9,questionnaire-pawl,,48266870,BLINDED,13865096,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,Feedback,2,Page 1,rnfxsa,1,**Did you use your phone at any point during the experiment? (Select all that apply)**,response,__other,0,,"No|Yes, to answer a call.|Yes, I checked my messages.|Yes, I played music.|Yes, I had video playing on the side.",fb_phone,3,object-3,selfreport_probe,Eligible,Voucher
