Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-8dr8,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID
11,1738525414588,02/02/2025 19:43:34,1738525414588,0,02/02/2025 19:43:34,209080,4,questionnaire-23s2,,42986755,BLIND,12528775,,complete,,,computer,Desktop or Laptop,Linux x86_64,Edge 132.0.2957.129,800x1280,800x1112,,,0,Feedback,2,set1,Page 1,rnfxsa,1,Which best describes the environment you completed the experiment in?,response,quantised,4,,A quiet room with no distraction.|A quiet public space with minimal distraction (such as a library).|A public space with considerable background noise (such as a cafe).,fb_environment,3,object-2
12,1738525414589,02/02/2025 19:43:34,1738525414589,0,02/02/2025 19:43:34,209080,4,questionnaire-23s2,,42986755,BLIND,12528775,,complete,,,computer,Desktop or Laptop,Linux x86_64,Edge 132.0.2957.129,800x1280,800x1112,,,0,Feedback,2,set1,Page 1,rnfxsa,1,Which best describes the environment you completed the experiment in?,response,other,Living room  ,,A quiet room with no distraction.|A quiet public space with minimal distraction (such as a library).|A public space with considerable background noise (such as a cafe).,fb_environment,3,object-2
13,1738525414591,02/02/2025 19:43:34,1738525414591,0,02/02/2025 19:43:34,209080,4,questionnaire-23s2,,42986755,BLIND,12528775,,complete,,,computer,Desktop or Laptop,Linux x86_64,Edge 132.0.2957.129,800x1280,800x1112,,,0,Feedback,2,set1,Page 1,rnfxsa,1,How did you find participating in this experiment? Please tell us anything you'd like to share about your experience.,response,value,"i enjoyed the survey mental maths is about the only thing i can do
",,,fb_comment,4,object-4
14,1738525414596,02/02/2025 19:43:34,1738525414596,0,02/02/2025 19:43:34,209080,4,questionnaire-23s2,,42986755,BLIND,12528775,,complete,,,computer,Desktop or Laptop,Linux x86_64,Edge 132.0.2957.129,800x1280,800x1112,,,0,Feedback,2,set1,,,,,info,,END,103198,,,,
1,1738586158690,03/02/2025 12:35:58,1738586158690,0,03/02/2025 12:35:58,209080,4,questionnaire-23s2,,43000575,BLIND,12532379,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 130.0.0.0,1470x956,1387x729,,,0,Feedback,2,set2,,,,,info,,BEGIN,,,,,
2,1738586178502,03/02/2025 12:36:18,1738586178502,0,03/02/2025 12:36:18,209080,4,questionnaire-23s2,,43000575,BLIND,12532379,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 130.0.0.0,1470x956,1387x729,,,0,Feedback,2,set2,Page 1,rnfxsa,1,Did you use a calculator at all during the experiment? ,response,value,No,,Yes|No|Only for a specific question,fb_calculator,1,object-5
3,1738586178502,03/02/2025 12:36:18,1738586178502,0,03/02/2025 12:36:18,209080,4,questionnaire-23s2,,43000575,BLIND,12532379,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 130.0.0.0,1470x956,1387x729,,,0,Feedback,2,set2,Page 1,rnfxsa,1,Did you use a calculator at all during the experiment? ,response,quantised,2,,Yes|No|Only for a specific question,fb_calculator,1,object-5
4,1738586178502,03/02/2025 12:36:18,1738586178502,0,03/02/2025 12:36:18,209080,4,questionnaire-23s2,,43000575,BLIND,12532379,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 130.0.0.0,1470x956,1387x729,,,0,Feedback,2,set2,Page 1,rnfxsa,1,Did you use your phone at any point during the experiment? (Select all that apply),response,No,0,,"No|Yes, to answer a call.|Yes, I checked my messages.|Yes, I played music.|Yes, I had video playing on the side.",fb_phone,2,object-3
5,1738586178502,03/02/2025 12:36:18,1738586178502,0,03/02/2025 12:36:18,209080,4,questionnaire-23s2,,43000575,BLIND,12532379,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 130.0.0.0,1470x956,1387x729,,,0,Feedback,2,set2,Page 1,rnfxsa,1,Did you use your phone at any point during the experiment? (Select all that apply),response,"Yes, to answer a call.",0,,"No|Yes, to answer a call.|Yes, I checked my messages.|Yes, I played music.|Yes, I had video playing on the side.",fb_phone,2,object-3
6,1738586178503,03/02/2025 12:36:18,1738586178503,0,03/02/2025 12:36:18,209080,4,questionnaire-23s2,,43000575,BLIND,12532379,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 130.0.0.0,1470x956,1387x729,,,0,Feedback,2,set2,Page 1,rnfxsa,1,Did you use your phone at any point during the experiment? (Select all that apply),response,"Yes, I checked my messages.",1,,"No|Yes, to answer a call.|Yes, I checked my messages.|Yes, I played music.|Yes, I had video playing on the side.",fb_phone,2,object-3
7,1738586178503,03/02/2025 12:36:18,1738586178503,0,03/02/2025 12:36:18,209080,4,questionnaire-23s2,,43000575,BLIND,12532379,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 130.0.0.0,1470x956,1387x729,,,0,Feedback,2,set2,Page 1,rnfxsa,1,Did you use your phone at any point during the experiment? (Select all that apply),response,"Yes, I played music.",0,,"No|Yes, to answer a call.|Yes, I checked my messages.|Yes, I played music.|Yes, I had video playing on the side.",fb_phone,2,object-3
8,1738586178503,03/02/2025 12:36:18,1738586178503,0,03/02/2025 12:36:18,209080,4,questionnaire-23s2,,43000575,BLIND,12532379,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 130.0.0.0,1470x956,1387x729,,,0,Feedback,2,set2,Page 1,rnfxsa,1,Did you use your phone at any point during the experiment? (Select all that apply),response,"Yes, I had video playing on the side.",0,,"No|Yes, to answer a call.|Yes, I checked my messages.|Yes, I played music.|Yes, I had video playing on the side.",fb_phone,2,object-3
9,1738586178503,03/02/2025 12:36:18,1738586178503,0,03/02/2025 12:36:18,209080,4,questionnaire-23s2,,43000575,BLIND,12532379,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 130.0.0.0,1470x956,1387x729,,,0,Feedback,2,set2,Page 1,rnfxsa,1,Did you use your phone at any point during the experiment? (Select all that apply),response,__other,0,,"No|Yes, to answer a call.|Yes, I checked my messages.|Yes, I played music.|Yes, I had video playing on the side.",fb_phone,2,object-3
10,1738586178504,03/02/2025 12:36:18,1738586178504,0,03/02/2025 12:36:18,209080,4,questionnaire-23s2,,43000575,BLIND,12532379,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 130.0.0.0,1470x956,1387x729,,,0,Feedback,2,set2,Page 1,rnfxsa,1,Which best describes the environment you completed the experiment in?,response,value,A quiet public space with minimal distraction (such as a library).,,A quiet room with no distraction.|A quiet public space with minimal distraction (such as a library).|A public space with considerable background noise (such as a cafe).,fb_environment,3,object-2
11,1738586178504,03/02/2025 12:36:18,1738586178504,0,03/02/2025 12:36:18,209080,4,questionnaire-23s2,,43000575,BLIND,12532379,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 130.0.0.0,1470x956,1387x729,,,0,Feedback,2,set2,Page 1,rnfxsa,1,Which best describes the environment you completed the experiment in?,response,quantised,2,,A quiet room with no distraction.|A quiet public space with minimal distraction (such as a library).|A public space with considerable background noise (such as a cafe).,fb_environment,3,object-2
12,1738586178504,03/02/2025 12:36:18,1738586178504,0,03/02/2025 12:36:18,209080,4,questionnaire-23s2,,43000575,BLIND,12532379,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 130.0.0.0,1470x956,1387x729,,,0,Feedback,2,set2,Page 1,rnfxsa,1,How did you find participating in this experiment? Please tell us anything you'd like to share about your experience.,response,value,,,,fb_comment,4,object-4
13,1738586178505,03/02/2025 12:36:18,1738586178505,0,03/02/2025 12:36:18,209080,4,questionnaire-23s2,,43000575,BLIND,12532379,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 130.0.0.0,1470x956,1387x729,,,0,Feedback,2,set2,,,,,info,,END,19794,,,,
1,1738587534426,03/02/2025 12:58:54,1738587534426,0,03/02/2025 12:58:54,209080,4,questionnaire-23s2,,43001708,BLIND,12532695,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.4,1470x956,1470x840,,,0,Feedback,2,set2,,,,,info,,BEGIN,,,,,
2,1738587644154,03/02/2025 13:00:44,1738587644154,0,03/02/2025 13:00:44,209080,4,questionnaire-23s2,,43001708,BLIND,12532695,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.4,1470x956,1470x840,,,0,Feedback,2,set2,Page 1,rnfxsa,1,Did you use a calculator at all during the experiment? ,response,value,No,,Yes|No|Only for a specific question,fb_calculator,1,object-5
3,1738587644154,03/02/2025 13:00:44,1738587644154,0,03/02/2025 13:00:44,209080,4,questionnaire-23s2,,43001708,BLIND,12532695,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.4,1470x956,1470x840,,,0,Feedback,2,set2,Page 1,rnfxsa,1,Did you use a calculator at all during the experiment? ,response,quantised,2,,Yes|No|Only for a specific question,fb_calculator,1,object-5
4,1738587644154,03/02/2025 13:00:44,1738587644154,0,03/02/2025 13:00:44,209080,4,questionnaire-23s2,,43001708,BLIND,12532695,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.4,1470x956,1470x840,,,0,Feedback,2,set2,Page 1,rnfxsa,1,Did you use your phone at any point during the experiment? (Select all that apply),response,No,0,,"No|Yes, to answer a call.|Yes, I checked my messages.|Yes, I played music.|Yes, I had video playing on the side.",fb_phone,2,object-3
5,1738587644154,03/02/2025 13:00:44,1738587644154,0,03/02/2025 13:00:44,209080,4,questionnaire-23s2,,43001708,BLIND,12532695,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.4,1470x956,1470x840,,,0,Feedback,2,set2,Page 1,rnfxsa,1,Did you use your phone at any point during the experiment? (Select all that apply),response,"Yes, to answer a call.",0,,"No|Yes, to answer a call.|Yes, I checked my messages.|Yes, I played music.|Yes, I had video playing on the side.",fb_phone,2,object-3
6,1738587644154,03/02/2025 13:00:44,1738587644154,0,03/02/2025 13:00:44,209080,4,questionnaire-23s2,,43001708,BLIND,12532695,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.4,1470x956,1470x840,,,0,Feedback,2,set2,Page 1,rnfxsa,1,Did you use your phone at any point during the experiment? (Select all that apply),response,"Yes, I checked my messages.",1,,"No|Yes, to answer a call.|Yes, I checked my messages.|Yes, I played music.|Yes, I had video playing on the side.",fb_phone,2,object-3
7,1738587644154,03/02/2025 13:00:44,1738587644154,0,03/02/2025 13:00:44,209080,4,questionnaire-23s2,,43001708,BLIND,12532695,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.4,1470x956,1470x840,,,0,Feedback,2,set2,Page 1,rnfxsa,1,Did you use your phone at any point during the experiment? (Select all that apply),response,"Yes, I played music.",0,,"No|Yes, to answer a call.|Yes, I checked my messages.|Yes, I played music.|Yes, I had video playing on the side.",fb_phone,2,object-3
8,1738587644154,03/02/2025 13:00:44,1738587644154,0,03/02/2025 13:00:44,209080,4,questionnaire-23s2,,43001708,BLIND,12532695,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.4,1470x956,1470x840,,,0,Feedback,2,set2,Page 1,rnfxsa,1,Did you use your phone at any point during the experiment? (Select all that apply),response,"Yes, I had video playing on the side.",0,,"No|Yes, to answer a call.|Yes, I checked my messages.|Yes, I played music.|Yes, I had video playing on the side.",fb_phone,2,object-3
9,1738587644155,03/02/2025 13:00:44,1738587644155,0,03/02/2025 13:00:44,209080,4,questionnaire-23s2,,43001708,BLIND,12532695,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.4,1470x956,1470x840,,,0,Feedback,2,set2,Page 1,rnfxsa,1,Did you use your phone at any point during the experiment? (Select all that apply),response,__other,0,,"No|Yes, to answer a call.|Yes, I checked my messages.|Yes, I played music.|Yes, I had video playing on the side.",fb_phone,2,object-3
10,1738587644155,03/02/2025 13:00:44,1738587644155,0,03/02/2025 13:00:44,209080,4,questionnaire-23s2,,43001708,BLIND,12532695,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.4,1470x956,1470x840,,,0,Feedback,2,set2,Page 1,rnfxsa,1,Which best describes the environment you completed the experiment in?,response,value,A quiet public space with minimal distraction (such as a library).,,A quiet room with no distraction.|A quiet public space with minimal distraction (such as a library).|A public space with considerable background noise (such as a cafe).,fb_environment,3,object-2
11,1738587644155,03/02/2025 13:00:44,1738587644155,0,03/02/2025 13:00:44,209080,4,questionnaire-23s2,,43001708,BLIND,12532695,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.4,1470x956,1470x840,,,0,Feedback,2,set2,Page 1,rnfxsa,1,Which best describes the environment you completed the experiment in?,response,quantised,2,,A quiet room with no distraction.|A quiet public space with minimal distraction (such as a library).|A public space with considerable background noise (such as a cafe).,fb_environment,3,object-2
12,1738587644155,03/02/2025 13:00:44,1738587644155,0,03/02/2025 13:00:44,209080,4,questionnaire-23s2,,43001708,BLIND,12532695,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.4,1470x956,1470x840,,,0,Feedback,2,set2,Page 1,rnfxsa,1,How did you find participating in this experiment? Please tell us anything you'd like to share about your experience.,response,value,,,,fb_comment,4,object-4
13,1738587644155,03/02/2025 13:00:44,1738587644155,0,03/02/2025 13:00:44,209080,4,questionnaire-23s2,,43001708,BLIND,12532695,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.4,1470x956,1470x840,,,0,Feedback,2,set2,,,,,info,,END,109705,,,,
1,1738588754422,03/02/2025 13:19:14,1738588754422,0,03/02/2025 13:19:14,209080,4,questionnaire-23s2,,43002627,BLIND,12532862,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,859x698,,,0,Feedback,2,set1,,,,,info,,BEGIN,,,,,
2,1738588769654,03/02/2025 13:19:29,1738588769654,0,03/02/2025 13:19:29,209080,4,questionnaire-23s2,,43002627,BLIND,12532862,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,859x698,,,0,Feedback,2,set1,Page 1,rnfxsa,1,Did you use a calculator at all during the experiment? ,response,value,No,,Yes|No|Only for a specific question,fb_calculator,1,object-5
3,1738588769654,03/02/2025 13:19:29,1738588769654,0,03/02/2025 13:19:29,209080,4,questionnaire-23s2,,43002627,BLIND,12532862,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,859x698,,,0,Feedback,2,set1,Page 1,rnfxsa,1,Did you use a calculator at all during the experiment? ,response,quantised,2,,Yes|No|Only for a specific question,fb_calculator,1,object-5
4,1738588769654,03/02/2025 13:19:29,1738588769654,0,03/02/2025 13:19:29,209080,4,questionnaire-23s2,,43002627,BLIND,12532862,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,859x698,,,0,Feedback,2,set1,Page 1,rnfxsa,1,Did you use your phone at any point during the experiment? (Select all that apply),response,No,1,,"No|Yes, to answer a call.|Yes, I checked my messages.|Yes, I played music.|Yes, I had video playing on the side.",fb_phone,2,object-3
5,1738588769654,03/02/2025 13:19:29,1738588769654,0,03/02/2025 13:19:29,209080,4,questionnaire-23s2,,43002627,BLIND,12532862,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,859x698,,,0,Feedback,2,set1,Page 1,rnfxsa,1,Did you use your phone at any point during the experiment? (Select all that apply),response,"Yes, to answer a call.",0,,"No|Yes, to answer a call.|Yes, I checked my messages.|Yes, I played music.|Yes, I had video playing on the side.",fb_phone,2,object-3
6,1738588769654,03/02/2025 13:19:29,1738588769654,0,03/02/2025 13:19:29,209080,4,questionnaire-23s2,,43002627,BLIND,12532862,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,859x698,,,0,Feedback,2,set1,Page 1,rnfxsa,1,Did you use your phone at any point during the experiment? (Select all that apply),response,"Yes, I checked my messages.",0,,"No|Yes, to answer a call.|Yes, I checked my messages.|Yes, I played music.|Yes, I had video playing on the side.",fb_phone,2,object-3
7,1738588769654,03/02/2025 13:19:29,1738588769654,0,03/02/2025 13:19:29,209080,4,questionnaire-23s2,,43002627,BLIND,12532862,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,859x698,,,0,Feedback,2,set1,Page 1,rnfxsa,1,Did you use your phone at any point during the experiment? (Select all that apply),response,"Yes, I played music.",0,,"No|Yes, to answer a call.|Yes, I checked my messages.|Yes, I played music.|Yes, I had video playing on the side.",fb_phone,2,object-3
8,1738588769654,03/02/2025 13:19:29,1738588769654,0,03/02/2025 13:19:29,209080,4,questionnaire-23s2,,43002627,BLIND,12532862,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,859x698,,,0,Feedback,2,set1,Page 1,rnfxsa,1,Did you use your phone at any point during the experiment? (Select all that apply),response,"Yes, I had video playing on the side.",0,,"No|Yes, to answer a call.|Yes, I checked my messages.|Yes, I played music.|Yes, I had video playing on the side.",fb_phone,2,object-3
9,1738588769654,03/02/2025 13:19:29,1738588769654,0,03/02/2025 13:19:29,209080,4,questionnaire-23s2,,43002627,BLIND,12532862,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,859x698,,,0,Feedback,2,set1,Page 1,rnfxsa,1,Did you use your phone at any point during the experiment? (Select all that apply),response,__other,0,,"No|Yes, to answer a call.|Yes, I checked my messages.|Yes, I played music.|Yes, I had video playing on the side.",fb_phone,2,object-3
10,1738588769654,03/02/2025 13:19:29,1738588769654,0,03/02/2025 13:19:29,209080,4,questionnaire-23s2,,43002627,BLIND,12532862,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,859x698,,,0,Feedback,2,set1,Page 1,rnfxsa,1,Which best describes the environment you completed the experiment in?,response,value,A quiet room with no distraction.,,A quiet room with no distraction.|A quiet public space with minimal distraction (such as a library).|A public space with considerable background noise (such as a cafe).,fb_environment,3,object-2
11,1738588769654,03/02/2025 13:19:29,1738588769654,0,03/02/2025 13:19:29,209080,4,questionnaire-23s2,,43002627,BLIND,12532862,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,859x698,,,0,Feedback,2,set1,Page 1,rnfxsa,1,Which best describes the environment you completed the experiment in?,response,quantised,1,,A quiet room with no distraction.|A quiet public space with minimal distraction (such as a library).|A public space with considerable background noise (such as a cafe).,fb_environment,3,object-2
12,1738588769654,03/02/2025 13:19:29,1738588769654,0,03/02/2025 13:19:29,209080,4,questionnaire-23s2,,43002627,BLIND,12532862,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,859x698,,,0,Feedback,2,set1,Page 1,rnfxsa,1,How did you find participating in this experiment? Please tell us anything you'd like to share about your experience.,response,value,,,,fb_comment,4,object-4
13,1738588769654,03/02/2025 13:19:29,1738588769654,0,03/02/2025 13:19:29,209080,4,questionnaire-23s2,,43002627,BLIND,12532862,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,859x698,,,0,Feedback,2,set1,,,,,info,,END,15199,,,,
1,1738601086176,03/02/2025 16:44:46,1738601086176,0,03/02/2025 16:44:46,209080,4,questionnaire-23s2,,43012827,BLIND,12536225,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 132.0.0.0,1280x720,1696x792,,,0,Feedback,2,set1,,,,,info,,BEGIN,,,,,
2,1738601136930,03/02/2025 16:45:36,1738601136930,0,03/02/2025 16:45:36,209080,4,questionnaire-23s2,,43012827,BLIND,12536225,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 132.0.0.0,1280x720,1696x792,,,0,Feedback,2,set1,Page 1,rnfxsa,1,Did you use a calculator at all during the experiment? ,response,value,No,,Yes|No|Only for a specific question,fb_calculator,1,object-5
3,1738601136930,03/02/2025 16:45:36,1738601136930,0,03/02/2025 16:45:36,209080,4,questionnaire-23s2,,43012827,BLIND,12536225,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 132.0.0.0,1280x720,1696x792,,,0,Feedback,2,set1,Page 1,rnfxsa,1,Did you use a calculator at all during the experiment? ,response,quantised,2,,Yes|No|Only for a specific question,fb_calculator,1,object-5
4,1738601136931,03/02/2025 16:45:36,1738601136931,0,03/02/2025 16:45:36,209080,4,questionnaire-23s2,,43012827,BLIND,12536225,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 132.0.0.0,1280x720,1696x792,,,0,Feedback,2,set1,Page 1,rnfxsa,1,Did you use your phone at any point during the experiment? (Select all that apply),response,No,1,,"No|Yes, to answer a call.|Yes, I checked my messages.|Yes, I played music.|Yes, I had video playing on the side.",fb_phone,2,object-3
5,1738601136931,03/02/2025 16:45:36,1738601136931,0,03/02/2025 16:45:36,209080,4,questionnaire-23s2,,43012827,BLIND,12536225,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 132.0.0.0,1280x720,1696x792,,,0,Feedback,2,set1,Page 1,rnfxsa,1,Did you use your phone at any point during the experiment? (Select all that apply),response,"Yes, to answer a call.",0,,"No|Yes, to answer a call.|Yes, I checked my messages.|Yes, I played music.|Yes, I had video playing on the side.",fb_phone,2,object-3
6,1738601136932,03/02/2025 16:45:36,1738601136932,0,03/02/2025 16:45:36,209080,4,questionnaire-23s2,,43012827,BLIND,12536225,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 132.0.0.0,1280x720,1696x792,,,0,Feedback,2,set1,Page 1,rnfxsa,1,Did you use your phone at any point during the experiment? (Select all that apply),response,"Yes, I checked my messages.",0,,"No|Yes, to answer a call.|Yes, I checked my messages.|Yes, I played music.|Yes, I had video playing on the side.",fb_phone,2,object-3
7,1738601136932,03/02/2025 16:45:36,1738601136932,0,03/02/2025 16:45:36,209080,4,questionnaire-23s2,,43012827,BLIND,12536225,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 132.0.0.0,1280x720,1696x792,,,0,Feedback,2,set1,Page 1,rnfxsa,1,Did you use your phone at any point during the experiment? (Select all that apply),response,"Yes, I played music.",0,,"No|Yes, to answer a call.|Yes, I checked my messages.|Yes, I played music.|Yes, I had video playing on the side.",fb_phone,2,object-3
